,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Relatives,Alone,Title
0,3,1,34.5,0,0,7.8292,1,0,0.0,2
1,3,0,47.0,1,0,7.0,2,1,1.0,3
2,2,1,62.0,0,0,9.6875,1,0,0.0,2
3,3,1,27.0,0,0,8.6625,2,0,0.0,2
4,3,0,22.0,1,1,12.2875,2,2,1.0,3
5,3,1,14.0,0,0,9.225,2,0,0.0,2
6,3,0,30.0,0,0,7.6292,1,0,0.0,1
7,2,1,26.0,1,1,29.0,2,2,1.0,2
8,3,0,18.0,0,0,7.2292,0,0,0.0,3
9,3,1,21.0,2,0,24.15,2,2,1.0,2
10,3,1,32.0,0,0,7.8958,2,0,0.0,2
11,1,1,46.0,0,0,26.0,2,0,0.0,2
12,1,0,23.0,1,0,82.2667,2,1,1.0,3
13,2,1,63.0,1,0,26.0,2,1,1.0,2
14,1,0,47.0,1,0,61.175,2,1,1.0,3
15,2,0,24.0,1,0,27.7208,0,1,1.0,3
16,2,1,35.0,0,0,12.35,1,0,0.0,2
17,3,1,21.0,0,0,7.225,0,0,0.0,2
18,3,0,27.0,1,0,7.925,2,1,1.0,1
19,3,0,45.0,0,0,7.225,0,0,0.0,3
20,1,1,55.0,1,0,59.4,0,1,1.0,2
21,3,1,9.0,0,1,3.1708,2,1,1.0,0
22,1,0,39.0,0,0,31.6833,2,0,0.0,3
23,1,1,21.0,0,1,61.3792,0,1,1.0,2
24,1,0,48.0,1,3,262.375,0,4,1.0,3
25,3,1,50.0,1,0,14.5,2,1,1.0,2
26,1,0,22.0,0,1,61.9792,0,1,1.0,1
27,3,1,22.5,0,0,7.225,0,0,0.0,2
28,1,1,41.0,0,0,30.5,2,0,0.0,2
29,3,1,32.0,2,0,21.6792,0,2,1.0,2
30,2,1,50.0,1,0,26.0,2,1,1.0,2
31,2,1,24.0,2,0,31.5,2,2,1.0,2
32,3,0,33.0,1,2,20.575,2,3,1.0,3
33,3,0,39.0,1,2,23.45,2,3,1.0,3
34,1,1,30.0,1,0,57.75,0,1,1.0,2
35,3,1,18.5,0,0,7.2292,0,0,0.0,2
36,3,0,22.0,0,0,8.05,2,0,0.0,1
37,3,0,21.0,0,0,8.6625,2,0,0.0,1
38,3,1,25.0,0,0,9.5,2,0,0.0,2
39,3,1,32.0,0,0,56.4958,2,0,0.0,2
40,3,1,39.0,0,1,13.4167,0,1,1.0,2
41,1,1,32.0,0,0,26.55,2,0,0.0,2
42,3,1,41.0,0,0,7.85,2,0,0.0,2
43,2,0,30.0,0,0,13.0,2,0,0.0,3
44,1,0,45.0,1,0,52.5542,2,1,1.0,3
45,3,1,25.0,0,0,7.925,2,0,0.0,2
46,1,1,45.0,0,0,29.7,0,0,0.0,2
47,3,1,32.0,0,0,7.75,1,0,0.0,2
48,1,0,60.0,0,0,76.2917,0,0,0.0,3
49,3,0,36.0,0,2,15.9,2,2,1.0,3
50,1,1,24.0,1,0,60.0,2,1,1.0,2
51,2,1,27.0,0,0,15.0333,0,0,0.0,2
52,2,0,20.0,2,1,23.0,2,3,1.0,1
53,1,0,28.0,3,2,263.0,2,5,1.0,1
54,2,1,32.0,0,0,15.5792,0,0,0.0,2
55,3,1,10.0,4,1,29.125,1,5,1.0,0
56,3,1,35.0,0,0,7.8958,2,0,0.0,2
57,3,1,25.0,0,0,7.65,2,0,0.0,2
58,3,1,32.0,1,0,16.1,2,1,1.0,2
59,1,0,36.0,0,0,262.375,0,0,0.0,1
60,3,1,17.0,0,0,7.8958,2,0,0.0,2
61,2,1,32.0,0,0,13.5,2,0,0.0,2
62,3,1,18.0,0,0,7.75,2,0,0.0,2
63,3,0,22.0,0,0,7.725,1,0,0.0,1
64,1,1,13.0,2,2,262.375,0,4,1.0,0
65,2,0,39.0,0,0,21.0,2,0,0.0,3
66,3,0,18.0,0,0,7.8792,1,0,0.0,1
67,1,1,47.0,0,0,42.4,2,0,0.0,2
68,1,1,31.0,0,0,28.5375,0,0,0.0,2
69,1,0,60.0,1,4,263.0,2,5,1.0,3
70,3,0,24.0,0,0,7.75,1,0,0.0,1
71,3,1,21.0,0,0,7.8958,2,0,0.0,2
72,3,0,29.0,0,0,7.925,2,0,0.0,1
73,1,1,28.5,0,0,27.7208,0,0,0.0,2
74,1,0,35.0,0,0,211.5,0,0,0.0,1
75,1,1,32.5,0,0,211.5,0,0,0.0,2
76,3,1,32.0,0,0,8.05,2,0,0.0,2
77,1,0,55.0,2,0,25.7,2,2,1.0,3
78,2,1,30.0,0,0,13.0,2,0,0.0,2
79,3,0,24.0,0,0,7.75,1,0,0.0,1
80,3,1,6.0,1,1,15.2458,0,2,1.0,0
81,1,1,67.0,1,0,221.7792,2,1,1.0,2
82,1,1,49.0,0,0,26.0,2,0,0.0,2
83,3,1,32.0,0,0,7.8958,2,0,0.0,2
84,2,1,32.0,0,0,10.7083,1,0,0.0,2
85,3,1,32.0,1,0,14.4542,0,1,1.0,2
86,3,0,27.0,0,0,7.8792,1,0,0.0,1
87,3,0,18.0,0,0,8.05,2,0,0.0,1
88,3,0,22.0,0,0,7.75,1,0,0.0,1
89,2,1,2.0,1,1,23.0,2,2,1.0,0
90,3,0,22.0,1,0,13.9,2,1,1.0,3
91,3,1,32.0,0,0,7.775,2,0,0.0,2
92,1,0,27.0,1,2,52.0,2,3,1.0,3
93,3,1,32.0,0,0,8.05,2,0,0.0,2
94,1,1,25.0,0,0,26.0,0,0,0.0,2
95,3,1,25.0,0,0,7.7958,2,0,0.0,2
96,1,0,76.0,1,0,78.85,2,1,1.0,3
97,3,1,29.0,0,0,7.925,2,0,0.0,2
98,3,0,20.0,0,0,7.8542,2,0,0.0,1
99,3,1,33.0,0,0,8.05,2,0,0.0,2
100,1,0,43.0,1,0,55.4417,0,1,1.0,3
101,2,1,27.0,1,0,26.0,2,1,1.0,2
102,3,1,32.0,0,0,7.75,1,0,0.0,2
103,3,1,26.0,0,0,7.775,2,0,0.0,2
104,3,0,16.0,1,1,8.5167,0,2,1.0,3
105,3,1,28.0,0,0,22.525,2,0,0.0,2
106,3,1,21.0,0,0,7.8208,1,0,0.0,2
107,3,1,32.0,0,0,7.75,1,0,0.0,2
108,3,1,32.0,0,0,8.7125,2,0,0.0,2
109,2,1,18.5,0,0,13.0,2,0,0.0,2
110,2,1,41.0,0,0,15.0458,0,0,0.0,2
111,3,0,22.0,0,0,7.7792,1,0,0.0,1
112,1,0,36.0,0,0,31.6792,0,0,0.0,1
113,3,0,18.5,0,0,7.2833,1,0,0.0,1
114,1,0,63.0,1,0,221.7792,2,1,1.0,3
115,3,1,18.0,1,0,14.4542,0,1,1.0,2
116,3,1,32.0,0,0,6.4375,0,0,0.0,2
117,3,0,1.0,1,1,16.7,2,2,1.0,1
118,1,1,36.0,0,0,75.2417,0,0,0.0,2
119,2,0,29.0,1,0,26.0,2,1,1.0,3
120,2,0,12.0,0,0,15.75,2,0,0.0,1
121,3,1,32.0,1,0,7.75,1,1,1.0,2
122,1,0,35.0,1,0,57.75,0,1,1.0,3
123,3,1,28.0,0,0,7.25,2,0,0.0,2
124,3,1,32.0,0,0,7.75,1,0,0.0,2
125,3,0,17.0,0,1,16.1,2,1,1.0,1
126,3,1,22.0,0,0,7.7958,2,0,0.0,2
127,3,0,22.0,2,0,23.25,1,2,1.0,1
128,2,1,42.0,0,0,13.0,2,0,0.0,2
129,3,1,24.0,0,0,8.05,2,0,0.0,2
130,3,1,32.0,0,0,8.05,2,0,0.0,2
131,1,1,53.0,0,0,28.5,0,0,0.0,4
132,3,0,39.0,0,4,25.4667,2,4,1.0,3
133,3,1,32.0,1,0,6.4375,0,1,1.0,2
134,3,1,43.0,0,0,7.8958,2,0,0.0,2
135,3,1,24.0,0,0,7.8542,2,0,0.0,2
136,3,1,26.5,0,0,7.225,0,0,0.0,2
137,2,1,26.0,0,0,13.0,2,0,0.0,2
138,3,0,23.0,0,0,8.05,2,0,0.0,1
139,3,1,40.0,1,6,46.9,2,7,1.0,2
140,3,0,10.0,5,2,46.9,2,7,1.0,1
141,1,0,33.0,0,0,151.55,2,0,0.0,1
142,1,1,61.0,1,3,262.375,0,4,1.0,2
143,2,1,28.0,0,0,26.0,2,0,0.0,2
144,1,1,42.0,0,0,26.55,2,0,0.0,2
145,3,1,31.0,3,0,18.0,2,3,1.0,2
146,1,1,32.0,0,0,51.8625,2,0,0.0,2
147,3,1,22.0,0,0,8.05,2,0,0.0,2
148,1,1,32.0,0,0,26.55,2,0,0.0,2
149,2,1,30.0,1,1,26.0,2,2,1.0,4
150,1,0,23.0,0,1,83.1583,0,1,1.0,3
151,3,1,32.0,0,0,7.8958,0,0,0.0,2
152,3,1,60.5,0,0,36.0,2,0,0.0,2
153,3,0,36.0,0,2,12.1833,2,2,1.0,3
154,3,1,13.0,4,2,31.3875,2,6,1.0,0
155,3,1,24.0,0,0,7.55,2,0,0.0,2
156,1,0,29.0,0,0,221.7792,2,0,0.0,1
157,3,0,23.0,0,0,7.8542,2,0,0.0,1
158,1,1,42.0,0,0,26.55,2,0,0.0,2
159,3,0,26.0,0,2,13.775,2,2,1.0,3
160,3,0,22.0,0,0,7.7333,1,0,0.0,1
161,3,1,7.0,1,1,15.2458,0,2,1.0,0
162,2,0,26.0,0,0,13.5,2,0,0.0,1
163,3,1,32.0,0,0,7.0,2,0,0.0,2
164,2,1,41.0,0,0,13.0,2,0,0.0,4
165,3,0,26.0,1,1,22.025,2,2,1.0,3
166,1,1,48.0,0,0,50.4958,0,0,0.0,2
167,3,1,18.0,2,2,34.375,2,4,1.0,2
168,1,0,39.0,0,0,27.7208,0,0,0.0,3
169,3,0,22.0,0,0,8.9625,2,0,0.0,1
170,3,1,32.0,0,0,7.55,2,0,0.0,2
171,3,1,27.0,0,0,7.225,0,0,0.0,2
172,3,1,23.0,1,0,13.9,2,1,1.0,2
173,3,1,32.0,0,0,7.2292,0,0,0.0,2
174,3,1,40.0,1,5,31.3875,2,6,1.0,2
175,2,0,15.0,0,2,39.0,2,2,1.0,1
176,2,0,20.0,0,0,36.75,2,0,0.0,1
177,1,1,54.0,1,0,55.4417,0,1,1.0,2
178,2,0,36.0,0,3,39.0,2,3,1.0,3
179,1,0,64.0,0,2,83.1583,0,2,1.0,3
180,2,1,30.0,0,0,13.0,2,0,0.0,2
181,1,1,37.0,1,1,83.1583,0,2,1.0,2
182,1,0,18.0,1,0,53.1,2,1,1.0,3
183,3,1,32.0,0,0,7.75,1,0,0.0,2
184,1,0,27.0,1,1,247.5208,0,2,1.0,3
185,2,1,40.0,0,0,16.0,2,0,0.0,2
186,2,0,21.0,0,1,21.0,2,1,1.0,1
187,3,1,17.0,2,0,8.05,2,2,1.0,2
188,3,0,22.0,8,2,69.55,2,10,1.0,1
189,2,1,40.0,0,0,13.0,2,0,0.0,2
190,2,1,34.0,1,0,26.0,2,1,1.0,2
191,1,1,32.0,0,0,26.0,2,0,0.0,2
192,3,1,11.5,1,1,14.5,2,2,1.0,0
193,2,1,61.0,0,0,12.35,1,0,0.0,2
194,2,1,8.0,0,2,32.5,2,2,1.0,0
195,3,1,33.0,0,0,7.8542,2,0,0.0,2
196,1,1,6.0,0,2,134.5,0,2,1.0,0
197,3,0,18.0,0,0,7.775,2,0,0.0,1
198,2,1,23.0,0,0,10.5,2,0,0.0,2
199,3,0,39.0,0,0,8.1125,2,0,0.0,3
200,3,0,22.0,0,0,15.5,1,0,0.0,1
201,3,1,0.33,0,2,14.4,2,2,1.0,0
202,1,1,47.0,1,0,227.525,0,1,1.0,4
203,2,0,8.0,1,1,26.0,2,2,1.0,1
204,2,1,25.0,0,0,10.5,2,0,0.0,2
205,1,1,32.0,0,0,25.7417,0,0,0.0,2
206,3,0,35.0,0,0,7.75,1,0,0.0,1
207,2,1,24.0,0,0,10.5,2,0,0.0,2
208,1,0,33.0,0,0,27.7208,0,0,0.0,1
209,3,1,25.0,0,0,7.8958,2,0,0.0,2
210,3,1,32.0,0,0,22.525,2,0,0.0,2
211,3,1,32.0,0,0,7.05,2,0,0.0,2
212,2,1,17.0,0,0,73.5,2,0,0.0,2
213,2,0,60.0,1,0,26.0,2,1,1.0,3
214,3,0,38.0,4,2,7.775,2,6,1.0,1
215,1,1,42.0,0,0,42.5,2,0,0.0,2
216,3,0,22.0,0,0,7.8792,1,0,0.0,1
217,1,1,57.0,1,1,164.8667,2,2,1.0,2
218,1,0,50.0,1,1,211.5,0,2,1.0,3
219,3,1,32.0,0,0,8.05,2,0,0.0,2
220,2,0,30.0,1,0,13.8583,0,1,1.0,1
221,3,1,21.0,0,0,8.05,2,0,0.0,2
222,2,0,22.0,0,0,10.5,2,0,0.0,3
223,3,1,21.0,0,0,7.7958,2,0,0.0,2
224,1,0,53.0,0,0,27.4458,0,0,0.0,3
225,3,0,39.0,0,2,15.2458,0,2,1.0,3
226,3,1,23.0,0,0,7.7958,2,0,0.0,2
227,3,0,22.0,0,0,7.75,1,0,0.0,1
228,3,1,40.5,0,0,15.1,2,0,0.0,2
229,2,1,36.0,0,0,13.0,2,0,0.0,2
230,2,1,14.0,0,0,65.0,2,0,0.0,2
231,1,0,21.0,0,0,26.55,2,0,0.0,1
232,3,1,21.0,1,0,6.4958,2,1,1.0,2
233,3,1,32.0,0,0,7.8792,1,0,0.0,2
234,1,1,39.0,1,0,71.2833,0,1,1.0,2
235,3,1,20.0,0,0,7.8542,2,0,0.0,2
236,1,1,64.0,1,0,75.25,0,1,1.0,2
237,3,1,20.0,0,0,7.225,0,0,0.0,2
238,2,0,18.0,1,1,13.0,2,2,1.0,1
239,1,0,48.0,1,0,106.425,0,1,1.0,3
240,1,0,55.0,0,0,27.7208,0,0,0.0,3
241,2,0,45.0,0,2,30.0,2,2,1.0,3
242,1,1,45.0,1,1,134.5,0,2,1.0,2
243,3,1,32.0,0,0,7.8875,2,0,0.0,2
244,3,1,7.0,1,2,23.45,2,3,1.0,0
245,1,1,41.0,1,0,51.8625,2,1,1.0,2
246,2,0,22.0,0,0,21.0,2,0,0.0,3
247,2,1,42.0,1,1,32.5,2,2,1.0,2
248,2,0,29.0,1,0,26.0,2,1,1.0,3
249,3,0,39.0,1,0,14.4542,0,1,1.0,3
250,2,0,0.92,1,2,27.75,2,3,1.0,1
251,3,1,20.0,0,0,7.925,2,0,0.0,2
252,1,1,27.0,1,0,136.7792,0,1,1.0,2
253,3,1,24.0,0,0,9.325,2,0,0.0,2
254,3,1,32.5,0,0,9.5,2,0,0.0,2
255,3,1,32.0,0,0,7.55,2,0,0.0,2
256,3,1,32.0,0,0,7.75,1,0,0.0,2
257,3,1,28.0,0,0,8.05,2,0,0.0,2
258,2,0,19.0,0,0,13.0,2,0,0.0,1
259,3,1,21.0,0,0,7.775,2,0,0.0,2
260,3,1,36.5,1,0,17.4,2,1,1.0,2
261,3,1,21.0,0,0,7.8542,2,0,0.0,2
262,2,0,29.0,0,2,23.0,2,2,1.0,3
263,3,0,1.0,1,1,12.1833,2,2,1.0,1
264,2,1,30.0,0,0,12.7375,0,0,0.0,2
265,3,1,32.0,0,0,7.8958,2,0,0.0,2
266,1,1,32.0,0,0,0.0,2,0,0.0,2
267,3,1,32.0,0,0,7.55,2,0,0.0,2
268,3,0,22.0,0,0,8.05,2,0,0.0,1
269,3,1,17.0,0,0,8.6625,2,0,0.0,2
270,1,1,46.0,0,0,75.2417,0,0,0.0,2
271,3,1,32.0,0,0,7.75,1,0,0.0,2
272,1,0,26.0,1,0,136.7792,0,1,1.0,3
273,3,0,22.0,1,0,15.5,1,1,1.0,1
274,3,1,32.0,0,0,7.225,0,0,0.0,2
275,2,0,20.0,1,0,26.0,2,1,1.0,1
276,2,1,28.0,0,0,10.5,2,0,0.0,2
277,2,1,40.0,1,0,26.0,2,1,1.0,2
278,2,1,30.0,1,0,21.0,2,1,1.0,2
279,2,1,22.0,0,0,10.5,2,0,0.0,2
280,3,0,23.0,0,0,8.6625,2,0,0.0,1
281,3,1,0.75,1,1,13.775,2,2,1.0,0
282,3,0,22.0,0,0,7.75,1,0,0.0,1
283,3,0,9.0,1,1,15.2458,0,2,1.0,1
284,3,0,2.0,1,1,20.2125,2,2,1.0,1
285,3,1,36.0,0,0,7.25,2,0,0.0,2
286,3,1,32.0,0,0,7.25,2,0,0.0,2
287,1,1,24.0,1,0,82.2667,2,1,1.0,2
288,3,1,32.0,0,0,7.2292,0,0,0.0,2
289,3,1,32.0,0,0,8.05,2,0,0.0,2
290,1,1,32.0,0,0,39.6,2,0,0.0,2
291,3,0,30.0,0,0,6.95,1,0,0.0,1
292,3,1,32.0,0,0,7.2292,0,0,0.0,2
293,1,1,53.0,1,1,81.8583,2,2,1.0,4
294,3,1,36.0,0,0,9.5,2,0,0.0,2
295,3,1,26.0,0,0,7.8958,2,0,0.0,2
296,2,0,1.0,1,2,41.5792,0,3,1.0,1
297,3,1,32.0,2,0,21.6792,0,2,1.0,2
298,1,1,30.0,0,0,45.5,2,0,0.0,2
299,3,1,29.0,0,0,7.8542,2,0,0.0,2
300,3,1,32.0,0,0,7.775,2,0,0.0,2
301,2,1,32.0,0,0,15.0458,0,0,0.0,2
302,2,1,43.0,0,1,21.0,2,1,1.0,2
303,3,1,24.0,0,0,8.6625,2,0,0.0,2
304,3,0,22.0,0,0,7.75,1,0,0.0,1
305,1,0,64.0,1,1,26.55,2,2,1.0,3
306,1,1,30.0,1,2,151.55,2,3,1.0,2
307,3,1,0.83,0,1,9.35,2,1,1.0,0
308,1,1,55.0,1,1,93.5,2,2,1.0,2
309,3,0,45.0,1,0,14.1083,2,1,1.0,3
310,3,1,18.0,0,0,8.6625,2,0,0.0,2
311,3,1,22.0,0,0,7.225,0,0,0.0,2
312,3,1,32.0,0,0,7.575,2,0,0.0,2
313,3,0,37.0,0,0,7.75,1,0,0.0,1
314,1,0,55.0,0,0,135.6333,0,0,0.0,3
315,3,0,17.0,0,0,7.7333,1,0,0.0,1
316,1,1,57.0,1,0,146.5208,0,1,1.0,2
317,2,1,19.0,0,0,10.5,2,0,0.0,2
318,3,1,27.0,0,0,7.8542,2,0,0.0,2
319,2,1,22.0,2,0,31.5,2,2,1.0,2
320,3,1,26.0,0,0,7.775,2,0,0.0,2
321,3,1,25.0,0,0,7.2292,0,0,0.0,2
322,2,1,26.0,0,0,13.0,2,0,0.0,2
323,1,1,33.0,0,0,26.55,2,0,0.0,2
324,1,0,39.0,0,0,211.3375,2,0,0.0,1
325,3,1,23.0,0,0,7.05,2,0,0.0,2
326,2,0,12.0,2,1,39.0,2,3,1.0,1
327,1,1,46.0,0,0,79.2,0,0,0.0,2
328,2,1,29.0,1,0,26.0,2,1,1.0,2
329,2,1,21.0,0,0,13.0,2,0,0.0,2
330,2,0,48.0,0,2,36.75,2,2,1.0,3
331,1,1,39.0,0,0,29.7,0,0,0.0,2
332,3,1,32.0,0,0,7.225,0,0,0.0,2
333,3,0,19.0,1,1,15.7417,0,2,1.0,3
334,3,1,27.0,0,0,7.8958,2,0,0.0,2
335,1,1,30.0,0,0,26.0,2,0,0.0,2
336,2,1,32.0,0,0,13.0,2,0,0.0,2
337,3,1,39.0,0,2,7.2292,0,2,1.0,2
338,2,1,25.0,0,0,31.5,2,0,0.0,2
339,3,1,7.0,0,0,7.2292,0,0,0.0,0
340,2,1,18.0,0,0,10.5,2,0,0.0,2
341,3,1,32.0,0,0,7.5792,2,0,0.0,2
342,3,1,32.0,1,9,69.55,2,10,1.0,2
343,1,0,58.0,0,1,512.3292,0,1,1.0,3
344,3,1,7.0,1,1,14.5,2,2,1.0,0
345,3,0,16.0,0,0,7.65,2,0,0.0,1
346,2,1,26.0,0,0,13.0,2,0,0.0,2
347,3,0,38.0,0,0,7.2292,0,0,0.0,3
348,2,1,24.0,0,0,13.5,2,0,0.0,2
349,2,0,31.0,0,0,21.0,2,0,0.0,1
350,1,0,45.0,0,1,63.3583,0,1,1.0,3
351,2,1,25.0,0,0,10.5,2,0,0.0,2
352,2,1,18.0,0,0,73.5,2,0,0.0,2
353,2,1,49.0,1,2,65.0,2,3,1.0,2
354,3,0,0.17,1,2,20.575,2,3,1.0,1
355,1,1,50.0,0,0,26.0,2,0,0.0,2
356,1,0,59.0,2,0,51.4792,2,2,1.0,3
357,3,1,32.0,0,0,7.8792,2,0,0.0,2
358,3,1,32.0,0,0,7.75,1,0,0.0,2
359,3,0,30.0,1,0,15.55,2,1,1.0,3
360,3,1,14.5,8,2,69.55,2,10,1.0,0
361,2,0,24.0,1,1,37.0042,0,2,1.0,3
362,2,0,31.0,0,0,21.0,2,0,0.0,3
363,3,1,27.0,0,0,8.6625,2,0,0.0,2
364,1,0,25.0,1,0,55.4417,0,1,1.0,3
365,3,0,39.0,1,9,69.55,2,10,1.0,3
366,3,1,32.0,1,0,14.4583,0,1,1.0,2
367,3,0,22.0,0,0,39.6875,2,0,0.0,1
368,1,0,45.0,0,1,59.4,0,1,1.0,3
369,2,1,29.0,0,0,13.8583,0,0,0.0,2
370,2,1,21.0,1,0,11.5,2,1,1.0,2
371,1,0,31.0,0,0,134.5,0,0,0.0,1
372,1,1,49.0,0,0,0.0,2,0,0.0,2
373,2,1,44.0,0,0,13.0,2,0,0.0,2
374,1,0,54.0,1,1,81.8583,2,2,1.0,3
375,1,0,45.0,0,0,262.375,0,0,0.0,1
376,3,0,22.0,2,0,8.6625,2,2,1.0,1
377,2,1,21.0,0,0,11.5,2,0,0.0,2
378,1,1,55.0,0,0,50.0,2,0,0.0,2
379,3,1,5.0,4,2,31.3875,2,6,1.0,0
380,3,1,32.0,0,0,7.75,1,0,0.0,2
381,3,1,26.0,0,0,7.8792,1,0,0.0,2
382,3,0,39.0,0,0,14.5,2,0,0.0,3
383,3,0,19.0,1,0,16.1,2,1,1.0,3
384,2,1,32.0,0,0,12.875,2,0,0.0,2
385,2,0,24.0,1,2,65.0,2,3,1.0,1
386,3,1,24.0,0,0,7.775,2,0,0.0,2
387,2,1,57.0,0,0,13.0,2,0,0.0,2
388,3,1,21.0,0,0,7.75,1,0,0.0,2
389,3,1,6.0,3,1,21.075,2,4,1.0,0
390,1,1,23.0,0,0,93.5,2,0,0.0,2
391,1,0,51.0,0,1,39.4,2,1,1.0,3
392,3,1,13.0,0,2,20.25,2,2,1.0,0
393,2,1,47.0,0,0,10.5,2,0,0.0,2
394,3,1,29.0,3,1,22.025,2,4,1.0,2
395,1,0,18.0,1,0,60.0,2,1,1.0,3
396,3,1,24.0,0,0,7.25,1,0,0.0,2
397,1,0,48.0,1,1,79.2,0,2,1.0,3
398,3,1,22.0,0,0,7.775,2,0,0.0,2
399,3,1,31.0,0,0,7.7333,1,0,0.0,2
400,1,0,30.0,0,0,164.8667,2,0,0.0,1
401,2,1,38.0,1,0,21.0,2,1,1.0,2
402,1,0,22.0,0,1,59.4,0,1,1.0,1
403,1,1,17.0,0,0,47.1,2,0,0.0,2
404,1,1,43.0,1,0,27.7208,0,1,1.0,2
405,2,1,20.0,0,0,13.8625,0,0,0.0,2
406,2,1,23.0,1,0,10.5,2,1,1.0,2
407,1,1,50.0,1,1,211.5,0,2,1.0,2
408,3,0,22.0,0,0,7.7208,1,0,0.0,1
409,3,0,3.0,1,1,13.775,2,2,1.0,1
410,3,0,22.0,0,0,7.75,1,0,0.0,1
411,1,0,37.0,1,0,90.0,1,1,1.0,3
412,3,0,28.0,0,0,7.775,2,0,0.0,1
413,3,1,32.0,0,0,8.05,2,0,0.0,2
414,1,0,39.0,0,0,108.9,0,0,0.0,4
415,3,1,38.5,0,0,7.25,2,0,0.0,2
416,3,1,32.0,0,0,8.05,2,0,0.0,2
417,3,1,7.0,1,1,22.3583,0,2,1.0,0
